epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.873,2.5862,22.5294,0.85765,0.00585,0.17323,0.02832,0.00987,2.82544,5.98092,0.93538,0.000663978,0.000663978,0.000663978
2,299.576,2.55008,2.22201,0.84334,0.7761,0.50394,0.57247,0.2008,2.40696,1.71284,0.89451,0.00126478,0.00126478,0.00126478
3,445.363,2.47936,1.91552,0.82986,0.66938,0.3937,0.46073,0.16985,2.37204,1.86199,0.89547,0.00179958,0.00179958,0.00179958
4,580.156,2.41569,1.84733,0.82313,0.70998,0.44336,0.49388,0.18251,2.4205,1.79515,0.89131,0.001703,0.001703,0.001703
5,717.109,2.33863,1.76665,0.83543,0.85342,0.46457,0.55747,0.2414,2.03952,1.48937,0.86945,0.001604,0.001604,0.001604
6,850.572,2.11916,1.6101,0.78773,0.79748,0.51969,0.59774,0.2449,2.08481,1.37584,0.8518,0.001505,0.001505,0.001505
7,986.096,2.0823,1.53117,0.7969,0.90892,0.51969,0.62661,0.28155,2.03846,1.29334,0.85891,0.001406,0.001406,0.001406
8,1124.45,2.01983,1.50735,0.77638,0.89606,0.53543,0.64319,0.31032,1.91513,1.19774,0.84893,0.001307,0.001307,0.001307
9,1262.72,1.88867,1.41656,0.78449,0.79169,0.5748,0.63561,0.29264,2.01823,1.22732,0.84245,0.001208,0.001208,0.001208
10,1401.1,1.81531,1.30728,0.78221,0.73112,0.54331,0.59087,0.25924,2.0107,1.29436,0.84902,0.001109,0.001109,0.001109
11,1540.11,1.76205,1.28107,0.7454,0.80014,0.64567,0.69226,0.32953,1.93301,1.11143,0.8428,0.00101,0.00101,0.00101
12,1679.09,1.91632,1.36848,0.79442,0.90433,0.59843,0.72458,0.33317,1.74341,1.07859,0.83195,0.000911,0.000911,0.000911
13,1816.91,1.78053,1.28933,0.78242,0.89175,0.64869,0.72853,0.36826,1.80603,1.09832,0.83686,0.000812,0.000812,0.000812
14,1954.66,1.67809,1.17973,0.74464,0.84512,0.66142,0.72281,0.36611,1.75506,1.03261,0.83618,0.000713,0.000713,0.000713
